node_id,incoming_link_from_node_id,outgoing_link_to_node_id,turning_direction,movement_hourly_capacity,total_vehicle_count,avg_vehicle_delay_in_sec 
1285,5018,5018,U-turn,100,0,5940
1286,11125,11125,U-turn,100,0,5940
1289,11124,11124,U-turn,100,0,5940
1289,11125,11125,U-turn,100,0,5940
1289,4952,4952,U-turn,100,0,5940
1289,5018,5018,U-turn,100,0,5940
1290,4952,4952,U-turn,100,0,5940
1296,5240,5240,U-turn,100,0,5940
1299,11129,11129,U-turn,100,0,5940
1299,4958,4958,U-turn,100,0,5940
1314,11146,11146,U-turn,100,0,5940
1316,11148,11148,U-turn,100,0,5940
1318,11160,11160,U-turn,100,0,5940
1319,11124,11124,U-turn,100,0,5940
1319,11146,11146,U-turn,100,0,5940
1319,11147,11147,U-turn,100,0,5940
1320,11148,11148,U-turn,100,0,5940
1320,5820,5820,U-turn,100,0,5940
1322,11160,11160,U-turn,100,0,5940
1322,11161,11161,U-turn,100,0,5940
1322,5589,5589,U-turn,100,0,5940
1323,11161,11161,U-turn,100,0,5940
1323,5592,5592,U-turn,100,0,5940
1325,10853,10853,U-turn,100,0,5940
1346,11172,11172,U-turn,100,0,5940
1348,5210,5210,U-turn,100,0,5940
1349,11181,11181,U-turn,100,0,5940
1349,5210,5210,U-turn,100,0,5940
1349,5219,5219,U-turn,100,0,5940
1351,5209,5209,U-turn,100,0,5940
1352,11181,11181,U-turn,100,0,5940
1352,11261,11261,U-turn,100,0,5940
1352,5209,5209,U-turn,100,0,5940
1352,6256,6256,U-turn,100,0,5940
1353,11172,11172,U-turn,100,0,5940
1353,11173,11173,U-turn,100,0,5940
1353,5589,5589,U-turn,100,0,5940
1354,11173,11173,U-turn,100,0,5940
1354,5592,5592,U-turn,100,0,5940
1355,11183,11183,U-turn,100,0,5940
1355,5219,5219,U-turn,100,0,5940
1356,11183,11183,U-turn,100,0,5940
1356,11259,11259,U-turn,100,0,5940
1356,6255,6255,U-turn,100,0,5940
1356,6256,6256,U-turn,100,0,5940
1357,5174,5174,U-turn,100,0,5940
1357,5588,5588,U-turn,100,0,5940
1357,6255,6255,U-turn,100,0,5940
1358,3002,3002,U-turn,100,0,5940
1359,3001,3001,U-turn,100,0,5940
1359,6185,6185,U-turn,100,0,5940
1360,10850,10850,U-turn,100,0,5940
1360,11489,11489,U-turn,100,0,5940
1360,5730,5730,U-turn,100,0,5940
1361,5728,5728,U-turn,100,0,5940
1397,11261,11261,U-turn,100,0,5940
1404,11257,11257,U-turn,100,0,5940
4899,11911,11911,U-turn,100,0,5940
4899,11913,11913,U-turn,100,0,5940
4899,5037,5037,U-turn,100,0,5940
4952,1289,1289,U-turn,100,0,5940
4952,1290,1290,U-turn,100,0,5940
4958,1299,1299,U-turn,100,0,5940
5018,1285,1285,U-turn,100,0,5940
5018,1289,1289,U-turn,100,0,5940
5037,4899,4899,U-turn,100,0,5940
5174,1357,1357,U-turn,100,0,5940
5209,1351,1351,U-turn,100,0,5940
5209,1352,1352,U-turn,100,0,5940
5210,1348,1348,U-turn,100,0,5940
5210,1349,1349,U-turn,100,0,5940
5215,11914,11914,U-turn,100,0,5940
5219,1349,1349,U-turn,100,0,5940
5219,1355,1355,U-turn,100,0,5940
5240,1296,1296,U-turn,100,0,5940
5588,1357,1357,U-turn,100,0,5940
5589,1322,1322,U-turn,100,0,5940
5589,1353,1353,U-turn,100,0,5940
5592,1323,1323,U-turn,100,0,5940
5592,1354,1354,U-turn,100,0,5940
5728,1361,1361,U-turn,100,0,5940
5730,1360,1360,U-turn,100,0,5940
5820,1320,1320,U-turn,100,0,5940
6185,1359,1359,U-turn,100,0,5940
6255,1356,1356,U-turn,100,0,5940
6255,1357,1357,U-turn,100,0,5940
6256,1352,1352,U-turn,100,0,5940
6256,1356,1356,U-turn,100,0,5940
10850,1360,1360,U-turn,100,0,5940
10853,1325,1325,U-turn,100,0,5940
11124,1289,1289,U-turn,100,0,5940
11124,1319,1319,U-turn,100,0,5940
11125,1286,1286,U-turn,100,0,5940
11125,1289,1289,U-turn,100,0,5940
11129,1299,1299,U-turn,100,0,5940
11146,1314,1314,U-turn,100,0,5940
11146,1319,1319,U-turn,100,0,5940
11147,1319,1319,U-turn,100,0,5940
11148,1316,1316,U-turn,100,0,5940
11148,1320,1320,U-turn,100,0,5940
11160,1318,1318,U-turn,100,0,5940
11160,1322,1322,U-turn,100,0,5940
11161,1322,1322,U-turn,100,0,5940
11161,1323,1323,U-turn,100,0,5940
11172,1346,1346,U-turn,100,0,5940
11172,1353,1353,U-turn,100,0,5940
11173,1353,1353,U-turn,100,0,5940
11173,1354,1354,U-turn,100,0,5940
11181,1349,1349,U-turn,100,0,5940
11181,1352,1352,U-turn,100,0,5940
11183,1355,1355,U-turn,100,0,5940
11183,1356,1356,U-turn,100,0,5940
11257,1404,1404,U-turn,100,0,5940
11259,1356,1356,U-turn,100,0,5940
11261,1352,1352,U-turn,100,0,5940
11261,1397,1397,U-turn,100,0,5940
11489,1360,1360,U-turn,100,0,5940
3001,1359,1359,U-turn,100,0,5940
3002,1358,1358,U-turn,100,0,5940
11911,11912,11912,U-turn,100,0,5940
11911,4899,4899,U-turn,100,0,5940
11912,11911,11911,U-turn,100,0,5940
11912,11913,11913,U-turn,100,0,5940
11913,11912,11912,U-turn,100,0,5940
11913,4899,4899,U-turn,100,0,5940
